date,eth,dash,btc,bch,ltc,xmr,zec
2010/07/17,,,1.05e-05,,,,
2010/07/18,,,0.000243,,,,
2010/07/19,,,2.18e-05,,,,
2010/07/20,,,,,,,
2010/07/21,,,,,,,
2010/07/22,,,,,,,
2010/07/23,,,2.61e-06,,,,
2010/07/24,,,,,,,
2010/07/25,,,9.65e-05,,,,
2010/07/26,,,0.000357,,,,
2010/07/27,,,0.000149,,,,
2010/07/28,,,3.48e-05,,,,
2010/07/29,,,3.42e-05,,,,
2010/07/30,,,0.000134,,,,
2010/07/31,,,0.000217,,,,
2010/08/01,,,0.000151,,,,
2010/08/02,,,8.25e-05,,,,
2010/08/03,,,,,,,
2010/08/04,,,,,,,
2010/08/05,,,,,,,
2010/08/06,,,,,,,
2010/08/07,,,0.00117,,,,
2010/08/08,,,,,,,
2010/08/09,,,0.00122,,,,
2010/08/10,,,,,,,
2010/08/11,,,,,,,
2010/08/12,,,,,,,
2010/08/13,,,,,,,
2010/08/14,,,,,,,
2010/08/15,,,,,,,
2010/08/16,,,0.000141,,,,
2010/08/17,,,,,,,
2010/08/18,,,0.000441,,,,
2010/08/19,,,,,,,
2010/08/20,,,,,,,
2010/08/21,,,,,,,
2010/08/22,,,,,,,
2010/08/23,,,,,,,
2010/08/24,,,0.000317,,,,
2010/08/25,,,,,,,
2010/08/26,,,,,,,
2010/08/27,,,,,,,
2010/08/28,,,4.2e-10,,,,
2010/08/29,,,0.000151,,,,
2010/08/30,,,0.00013,,,,
2010/08/31,,,4.83e-05,,,,
2010/09/01,,,2.24e-05,,,,
2010/09/02,,,,,,,
2010/09/03,,,,,,,
2010/09/04,,,,,,,
2010/09/05,,,4.25e-06,,,,
2010/09/06,,,5.18e-11,,,,
2010/09/07,,,,,,,
2010/09/08,,,7.07e-11,,,,
2010/09/09,,,3.56e-05,,,,
2010/09/10,,,3.36e-11,,,,
2010/09/11,,,,,,,
2010/09/12,,,4.59e-05,,,,
2010/09/13,,,2.34e-11,,,,
2010/09/14,,,2.69e-06,,,,
2010/09/15,,,,,,,
2010/09/16,,,,,,,
2010/09/17,,,,,,,
2010/09/18,,,6.67e-05,,,,
2010/09/19,,,,,,,
2010/09/20,,,,,,,
2010/09/21,,,9.86e-12,,,,
2010/09/22,,,,,,,
2010/09/23,,,,,,,
2010/09/24,,,,,,,
2010/09/25,,,,,,,
2010/09/26,,,,,,,
2010/09/27,,,3.32e-06,,,,
2010/09/28,,,0.00032,,,,
2010/09/29,,,,,,,
2010/09/30,,,,,,,
2010/10/01,,,8.07e-05,,,,
2010/10/02,,,1.19e-06,,,,
2010/10/03,,,1.87e-06,,,,
2010/10/04,,,2.39e-10,,,,
2010/10/05,,,,,,,
2010/10/06,,,2.87e-10,,,,
2010/10/07,,,,,,,
2010/10/08,,,,,,,
2010/10/09,,,,,,,
2010/10/10,,,,,,,
2010/10/11,,,5.54e-10,,,,
2010/10/12,,,,,,,
2010/10/13,,,0.000183,,,,
2010/10/14,,,,,,,
2010/10/15,,,,,,,
2010/10/16,,,,,,,
2010/10/17,,,,,,,
2010/10/18,,,6.22e-06,,,,
2010/10/19,,,,,,,
2010/10/20,,,,,,,
2010/10/21,,,2.17e-06,,,,
2010/10/22,,,,,,,
2010/10/23,,,1.56e-05,,,,
2010/10/24,,,,,,,
2010/10/25,,,,,,,
2010/10/26,,,,,,,
2010/10/27,,,,,,,
2010/10/28,,,,,,,
2010/10/29,,,,,,,
2010/10/30,,,,,,,
2010/10/31,,,,,,,
2010/11/01,,,,,,,
2010/11/02,,,,,,,
2010/11/03,,,,,,,
2010/11/04,,,,,,,
2010/11/05,,,,,,,
2010/11/06,,,,,,,
2010/11/07,,,,,,,
2010/11/08,,,0.00102,,,,
2010/11/09,,,,,,,
2010/11/10,,,,,,,
2010/11/11,,,,,,,
2010/11/12,,,,,,,
2010/11/13,,,,,,,
2010/11/14,,,,,,,
2010/11/15,,,2.81e-05,,,,
2010/11/16,,,,,,,
2010/11/17,,,,,,,
2010/11/18,,,,,,,
2010/11/19,,,2.31e-06,,,,
2010/11/20,,,2.93e-05,,,,
2010/11/21,,,2.9e-05,,,,
2010/11/22,,,0.000872,,,,
2010/11/23,,,0.000675,,,,
2010/11/24,,,1.43e-05,,,,
2010/11/25,,,,,,,
2010/11/26,,,9.31e-05,,,,
2010/11/27,,,2.14e-05,,,,
2010/11/28,,,,,,,
2010/11/29,,,3.12e-05,,,,
2010/11/30,,,8.69e-06,,,,
2010/12/01,,,2.7e-05,,,,
2010/12/02,,,5.33e-05,,,,
2010/12/03,,,1.28e-05,,,,
2010/12/04,,,1.33e-05,,,,
2010/12/05,,,3.15e-05,,,,
2010/12/06,,,4.33e-05,,,,
2010/12/07,,,5.25e-05,,,,
2010/12/08,,,3.36e-05,,,,
2010/12/09,,,3.02e-05,,,,
2010/12/10,,,6.26e-05,,,,
2010/12/11,,,6.74e-05,,,,
2010/12/12,,,6.74e-05,,,,
2010/12/13,,,0.000136,,,,
2010/12/14,,,2.41e-05,,,,
2010/12/15,,,3.66e-05,,,,
2010/12/16,,,7.06e-05,,,,
2010/12/17,,,0.000194,,,,
2010/12/18,,,4.82e-05,,,,
2010/12/19,,,7.69e-05,,,,
2010/12/20,,,2.2e-05,,,,
2010/12/21,,,6.34e-05,,,,
2010/12/22,,,8.73e-05,,,,
2010/12/23,,,3.99e-05,,,,
2010/12/24,,,5.09e-05,,,,
2010/12/25,,,3.6e-05,,,,
2010/12/26,,,5.61e-05,,,,
2010/12/27,,,5.49e-05,,,,
2010/12/28,,,5.72e-05,,,,
2010/12/29,,,0.000111,,,,
2010/12/30,,,6.44e-05,,,,
2010/12/31,,,1.78e-05,,,,
2011/01/01,,,5.52e-05,,,,
2011/01/02,,,6.62e-05,,,,
2011/01/03,,,0.000219,,,,
2011/01/04,,,1.11e-05,,,,
2011/01/05,,,2.37e-05,,,,
2011/01/06,,,4.48e-05,,,,
2011/01/07,,,1.93e-05,,,,
2011/01/08,,,4.41e-06,,,,
2011/01/09,,,4.27e-05,,,,
2011/01/10,,,1.94e-05,,,,
2011/01/11,,,1.14e-05,,,,
2011/01/12,,,9.42e-05,,,,
2011/01/13,,,7.36e-06,,,,
2011/01/14,,,2.16e-05,,,,
2011/01/15,,,5.12e-05,,,,
2011/01/16,,,4.48e-05,,,,
2011/01/17,,,8.97e-05,,,,
2011/01/18,,,1.84e-05,,,,
2011/01/19,,,2.09e-05,,,,
2011/01/20,,,5.59e-05,,,,
2011/01/21,,,2.06e-05,,,,
2011/01/22,,,0.000159,,,,
2011/01/23,,,0.000175,,,,
2011/01/24,,,8.77e-05,,,,
2011/01/25,,,7.31e-05,,,,
2011/01/26,,,5.52e-05,,,,
2011/01/27,,,0.00036,,,,
2011/01/28,,,2.82e-05,,,,
2011/01/29,,,0.000165,,,,
2011/01/30,,,0.000536,,,,
2011/01/31,,,0.000311,,,,
2011/02/01,,,0.000584,,,,
2011/02/02,,,4.83e-05,,,,
2011/02/03,,,0.000189,,,,
2011/02/04,,,0.000124,,,,
2011/02/05,,,0.000213,,,,
2011/02/06,,,0.000151,,,,
2011/02/07,,,0.00041,,,,
2011/02/08,,,0.000236,,,,
2011/02/09,,,6.31e-05,,,,
2011/02/10,,,0.000487,,,,
2011/02/11,,,0.000236,,,,
2011/02/12,,,0.000452,,,,
2011/02/13,,,0.000155,,,,
2011/02/14,,,0.0016,,,,
2011/02/15,,,0.000128,,,,
2011/02/16,,,0.000333,,,,
2011/02/17,,,6.37e-05,,,,
2011/02/18,,,0.000277,,,,
2011/02/19,,,0.000339,,,,
2011/02/20,,,0.000103,,,,
2011/02/21,,,0.000192,,,,
2011/02/22,,,0.000106,,,,
2011/02/23,,,0.000169,,,,
2011/02/24,,,8.54e-05,,,,
2011/02/25,,,0.000211,,,,
2011/02/26,,,0.000313,,,,
2011/02/27,,,0.000493,,,,
2011/02/28,,,0.000289,,,,
2011/03/01,,,0.000145,,,,
2011/03/02,,,0.000198,,,,
2011/03/03,,,0.00217,,,,
2011/03/04,,,0.000371,,,,
2011/03/05,,,0.00124,,,,
2011/03/06,,,0.00268,,,,
2011/03/07,,,0.00306,,,,
2011/03/08,,,0.00153,,,,
2011/03/09,,,0.00166,,,,
2011/03/10,,,0.00129,,,,
2011/03/11,,,0.00332,,,,
2011/03/12,,,0.000494,,,,
2011/03/13,,,0.000607,,,,
2011/03/14,,,0.000627,,,,
2011/03/15,,,0.000589,,,,
2011/03/16,,,0.000513,,,,
2011/03/17,,,0.00036,,,,
2011/03/18,,,0.0005,,,,
2011/03/19,,,0.000305,,,,
2011/03/20,,,0.000475,,,,
2011/03/21,,,0.00115,,,,
2011/03/22,,,0.0039,,,,
2011/03/23,,,0.0034,,,,
2011/03/24,,,0.00349,,,,
2011/03/25,,,0.00248,,,,
2011/03/26,,,0.00123,,,,
2011/03/27,,,0.00225,,,,
2011/03/28,,,0.00129,,,,
2011/03/29,,,0.00107,,,,
2011/03/30,,,0.00204,,,,
2011/03/31,,,0.00163,,,,
2011/04/01,,,0.00188,,,,
2011/04/02,,,0.00134,,,,
2011/04/03,,,0.00203,,,,
2011/04/04,,,0.00194,,,,
2011/04/05,,,0.00192,,,,
2011/04/06,,,0.00212,,,,
2011/04/07,,,0.00147,,,,
2011/04/08,,,0.00193,,,,
2011/04/09,,,0.00198,,,,
2011/04/10,,,0.00249,,,,
2011/04/11,,,0.00185,,,,
2011/04/12,,,0.00201,,,,
2011/04/13,,,0.00166,,,,
2011/04/14,,,0.00506,,,,
2011/04/15,,,0.00132,,,,
2011/04/16,,,0.00188,,,,
2011/04/17,,,0.00112,,,,
2011/04/18,,,0.00131,,,,
2011/04/19,,,0.00194,,,,
2011/04/20,,,0.00294,,,,
2011/04/21,,,0.00224,,,,
